DistrictID,DistrictName,ProvinceID,ProvinceName,Region,GID_2,GID_1,NAME_1,NAME_2,GADM_Latitude,GADM_Longitude,Population,Population_Density,Area,Is Strategic Zone Hub,Est Merchant 2026,Distributor Code,Distributor Name,SO,SO OFF,AO M06,Amount (Tax) M06,AO OFF M06,Amount (Tax) OFF M06,AO M05,Amount (Tax) M05,AO OFF M05,Amount (Tax) OFF M05
26983,Bảy Hiền,79,TP. Hồ Chí Minh,HCM,Bảy Hiền,TP. Hồ Chí Minh,Bảy Hiền,TP. Hồ Chí Minh,10.792185,106.648495,130254,45543.35664,2.86,0,1628,0,0,0,0,0,0,0,0,0,0,0,0
25813,Bến Cát,79,TP. Hồ Chí Minh,HCM,Bến Cát,TP. Hồ Chí Minh,Bến Cát,TP. Hồ Chí Minh,11.2044,106.615388,96449,955.9817623,100.89,0,1205,0,0,0,0,0,0,0,0,0,0,0,0
26743,Bến Thành,79,TP. Hồ Chí Minh,HCM,Bến Thành,TP. Hồ Chí Minh,Bến Thành,TP. Hồ Chí Minh,10.773196,106.694603,70789,38264.32432,1.85,0,884,0,0,0,0,0,0,0,0,0,0,0,0
27637,Bình Chánh,79,TP. Hồ Chí Minh,HCM,Bình Chánh,TP. Hồ Chí Minh,Bình Chánh,TP. Hồ Chí Minh,10.672866,106.596249,75036,3517.862166,21.33,0,937,0,0,0,0,0,0,0,0,0,0,0,0
26656,Bình Châu,79,TP. Hồ Chí Minh,HCM,Bình Châu,TP. Hồ Chí Minh,Bình Châu,TP. Hồ Chí Minh,10.578041,107.54005,25660,294.7392603,87.06,0,320,0,0,0,0,0,0,0,0,0,0,0,0
25915,Bình Cơ,79,TP. Hồ Chí Minh,HCM,Bình Cơ,TP. Hồ Chí Minh,Bình Cơ,TP. Hồ Chí Minh,11.151821,106.743661,63625,863.4143032,73.69,0,795,0,0,0,0,0,0,0,0,0,0,0,0
27424,Bình Đông,79,TP. Hồ Chí Minh,HCM,Bình Đông,TP. Hồ Chí Minh,Bình Đông,TP. Hồ Chí Minh,10.715349,106.632994,153970,17241.8813,8.93,0,1924,0,0,0,0,0,0,0,0,0,0,0,0
25760,Bình Dương,79,TP. Hồ Chí Minh,HCM,Bình Dương_25760,TP. Hồ Chí Minh,Bình Dương_25760,TP. Hồ Chí Minh,11.05315,106.689101,105951,1821.715956,58.16,0,1324,0,0,0,0,0,0,0,0,0,0,0,0
26590,Bình Giã,79,TP. Hồ Chí Minh,HCM,Bình Giã,TP. Hồ Chí Minh,Bình Giã,TP. Hồ Chí Minh,10.678941,107.287043,33744,503.9426523,66.96,0,421,0,0,0,0,0,0,0,0,0,0,0,0
25987,Bình Hòa,79,TP. Hồ Chí Minh,HCM,Bình Hòa_25987,TP. Hồ Chí Minh,Bình Hòa_25987,TP. Hồ Chí Minh,10.90081,106.725759,118222,6393.834505,18.49,0,1477,0,0,0,0,0,0,0,0,0,0,0,0
