WardID,WardName,WardNameUnique,ProvinceID,ProvinceName,Region,GID_2,GID_1,NAME_2,NAME_1,GADM_Latitude,GADM_Longitude
00508,Vĩnh Thanh,Vĩnh Thanh_00508,01,Hà Nội,NO,Vĩnh Thanh_00508,Hà Nội,Vĩnh Thanh_00508,Hà Nội,21.103515,105.817367
00283,Vĩnh Tuy,Vĩnh Tuy_00283,01,Hà Nội,NO,Vĩnh Tuy_00283,Hà Nội,Vĩnh Tuy_00283,Hà Nội,20.998187,105.867668
00611,Xuân Đỉnh,Xuân Đỉnh,01,Hà Nội,NO,Xuân Đỉnh,Hà Nội,Xuân Đỉnh,Hà Nội,21.065535,105.795454
10045,Xuân Mai,Xuân Mai,01,Hà Nội,NO,Xuân Mai,Hà Nội,Xuân Mai,Hà Nội,20.861158,105.602436
00622,Xuân Phương,Xuân Phương,01,Hà Nội,NO,Xuân Phương,Hà Nội,Xuân Phương,Hà Nội,21.031498,105.748299
09706,Yên Bài,Yên Bài,01,Hà Nội,NO,Yên Bài,Hà Nội,Yên Bài,Hà Nội,21.058233,105.418226
00175,Yên Hòa,Yên Hòa_00175,01,Hà Nội,NO,Yên Hòa_00175,Hà Nội,Yên Hòa_00175,Hà Nội,21.014064,105.795565
08980,Yên Lãng,Yên Lãng_08980,01,Hà Nội,NO,Yên Lãng_08980,Hà Nội,Yên Lãng_08980,Hà Nội,21.173515,105.66409
09562,Yên Nghĩa,Yên Nghĩa,01,Hà Nội,NO,Yên Nghĩa,Hà Nội,Yên Nghĩa,Hà Nội,20.937906,105.737384
00340,Yên Sở,Yên Sở,01,Hà Nội,NO,Yên Sở,Hà Nội,Yên Sở,Hà Nội,20.956508,105.857083
04930,Yên Xuân,Yên Xuân_04930,01,Hà Nội,NO,Yên Xuân_04930,Hà Nội,Yên Xuân_04930,Hà Nội,20.973915,105.481512
01708,Bạch Đằng,Bạch Đằng_01708,04,Cao Bằng,NO,Bạch Đằng_01708,Cao Bằng,Bạch Đằng_01708,Cao Bằng,22.587749,106.159232
01321,Bảo Lạc,Bảo Lạc,04,Cao Bằng,NO,Bảo Lạc,Cao Bằng,Bảo Lạc,Cao Bằng,22.939562,105.637613
01290,Bảo Lâm,Bảo Lâm,04,Cao Bằng,NO,Bảo Lâm,Cao Bằng,Bảo Lâm,Cao Bằng,22.831792,105.54918
01636,Bế Văn Đàn,Bế Văn Đàn,04,Cao Bằng,NO,Bế Văn Đàn,Cao Bằng,Bế Văn Đàn,Cao Bằng,22.615252,106.533677
01738,Ca Thành,Ca Thành,04,Cao Bằng,NO,Ca Thành,Cao Bằng,Ca Thành,Cao Bằng,22.726917,105.820833
01366,Cần Yên,Cần Yên,04,Cao Bằng,NO,Cần Yên,Cao Bằng,Cần Yên,Cao Bằng,22.885824,105.924188
01789,Canh Tân,Canh Tân,04,Cao Bằng,NO,Canh Tân,Cao Bằng,Canh Tân,Cao Bằng,22.50624,106.270541
01327,Cô Ba,Cô Ba,04,Cao Bằng,NO,Cô Ba,Cao Bằng,Cô Ba,Cao Bằng,23.008349,105.720578
01324,Cốc Pàng,Cốc Pàng,04,Cao Bằng,NO,Cốc Pàng,Cao Bằng,Cốc Pàng,Cao Bằng,23.045931,105.588093
01501,Đàm Thuỷ,Đàm Thuỷ,04,Cao Bằng,NO,Đàm Thuỷ,Cao Bằng,Đàm Thuỷ,Cao Bằng,22.836622,106.673364
01489,Đình Phong,Đình Phong,04,Cao Bằng,NO,Đình Phong,Cao Bằng,Đình Phong,Cao Bằng,22.889386,106.559213
01525,Đoài Dương,Đoài Dương,04,Cao Bằng,NO,Đoài Dương,Cao Bằng,Đoài Dương,Cao Bằng,22.764267,106.517363
01594,Độc Lập,Độc Lập,04,Cao Bằng,NO,Độc Lập,Cao Bằng,Độc Lập,Cao Bằng,22.718267,106.490953
01786,Đông Khê,Đông Khê,04,Cao Bằng,NO,Đông Khê,Cao Bằng,Đông Khê,Cao Bằng,22.418381,106.359783
01822,Đức Long,Đức Long,04,Cao Bằng,NO,Đức Long,Cao Bằng,Đức Long,Cao Bằng,22.438605,106.514193
